username,full_text
breakfast_survey,"Changes every few weeks---right now it's eggs & rice & kimchi! Cooking is often the most relaxing part of my day, so it's nice to spend time in the morning making something that tastes & feels good."
breakfast_survey,"I do a lot of freezer meals for breakfast - breakfast burritos, quiches, muffins."
breakfast_survey,oatmeal is my friend!
breakfast_survey,"If I’m being honest- most days are coffee. But I *intend* to eat breakfast every morning. When I do it’s minimal. Maybe I actually should prep breakfast so that it’s easier, psychologically, to get myself to eat it 🫢"
breakfast_survey,"If not for health reasons, I would be making some form of bacon egg and cheese breakfast sandwich every day."
breakfast_survey,"I cook two eggs and toast a slice of bread, and have pretty much done this continuously since early high school. I generally find cooking pretty intimidating, but I've done this so often that it feels very straightforward and doesn't take that long, and I consistently enjoy eating it which is cool."
breakfast_survey,Meal prep FTW!
breakfast_survey,"It's not the most important meal but making oatmeal or toast or fancy yogurt really makes the day feel more handle-able! I usually make a fancy hot cereal with honey, yogurt with granola and fruit, or a fancy nut butter toast situation. Sometimes when we have time it's an omelette or pancakes or hash browns situation."
breakfast_survey,"Strong feelings that I need to eat something, but it can't be too much."
breakfast_survey,"I've definitely been through periods in my life where I cooked myself a full breakfast every morning, usually when under/unemployed or working primarily evenings. Tamago kake gohan has been a favorite of mine for a ""cooked"" breakfast which is fast, hot, and delicious"
breakfast_survey,"Breakfast impt! When on top of my shit I prepare a batch of smoothie or grits every few days, when not am reduced to cook"
breakfast_survey,"I can’t get by without it. We make a smoothie right now, so that’s more than microwaving something but not really cooking. We used to alternate between oatmeal in the winter and smoothie in the summer but for the past year and a half it’s been smoothie szn"
breakfast_survey,"Fried potato cubes, potato, smoothie, coffee w/cream"
breakfast_survey,"If I was prepared/motivated, I'd have avocado slices on a just egg patty with cholula hot sauce and slice of sourdough toast. But I usually never eat :)"
breakfast_survey,High protein fortified cereal with Physivantage plant-based protein and collagen alternative in creamy oat milk. There is always coffee; 250ml from pour over. This is the same every day.
